City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2021-10-09 02:26:20,-33.6971,-53.4616,52.43,77,77,7.43
1,Groningen,NL,2021-10-09 02:25:18,53.25,6.75,51.1,79,0,4.61
2,Mahebourg,MU,2021-10-09 02:26:21,-20.4081,57.7,70.09,88,40,9.22
3,Kodiak,US,2021-10-09 02:24:24,57.79,-152.4072,51.31,50,1,11.5
4,Winchester,GB,2021-10-09 02:26:21,51.0651,-1.3187,56.41,91,5,1.14
5,Kahului,US,2021-10-09 02:24:05,20.8947,-156.47,83.46,76,75,19.57
6,Bathsheba,BB,2021-10-09 02:24:34,13.2167,-59.5167,81.21,83,40,17.27
7,Tuktoyaktuk,CA,2021-10-09 02:23:39,69.4541,-133.0374,30.2,93,90,4.61
8,Rikitea,PF,2021-10-09 02:24:04,-23.1203,-134.9692,74.28,78,100,10.51
9,Oban,GB,2021-10-09 02:26:22,56.4127,-5.4706,60.39,90,100,9.48
10,Ust-Barguzin,RU,2021-10-09 02:26:23,53.45,108.9833,40.57,63,86,1.66
11,Moose Factory,CA,2021-10-09 02:26:23,51.2585,-80.6094,59.0,88,1,3.44
12,Praia Da Vitoria,PT,2021-10-09 02:26:24,38.7333,-27.0667,66.76,82,20,7.67
13,Mahibadhoo,MV,2021-10-09 02:26:24,3.7833,72.9667,83.55,72,11,12.06
14,Brae,GB,2021-10-09 02:21:00,60.3964,-1.353,53.51,99,100,9.44
15,Baiyin,CN,2021-10-09 02:26:24,36.5583,104.2081,38.28,42,99,16.13
16,Jorochito,BO,2021-10-09 02:26:25,-18.05,-63.4333,80.33,57,80,6.67
17,Larreynaga,NI,2021-10-09 02:26:25,12.6769,-86.5719,76.3,90,100,3.58
18,Nampa,US,2021-10-09 02:25:02,43.5407,-116.5635,57.31,81,1,3.44
19,Norman Wells,CA,2021-10-09 02:25:50,65.282,-126.8329,33.84,93,75,6.91
20,Mill Valley,US,2021-10-09 02:26:26,37.906,-122.545,58.89,79,99,17.0
21,Avarua,CK,2021-10-09 02:24:27,-21.2078,-159.775,77.05,69,40,4.61
22,Cape Town,ZA,2021-10-09 02:21:04,-33.9258,18.4232,57.61,88,40,6.91
23,Albany,US,2021-10-09 02:21:16,42.6001,-73.9662,64.31,87,100,3.0
